nome;preço;estoque
Arroz Tipo 1 5kg;29,68;11
Feijão Preto 1kg;34,02;67
Açúcar Refinado 1kg;11,99;31
Café Torrado e Moído 500g;31,26;144
Óleo de Soja 900ml;6,19;113
Leite Integral 1L;3,85;28
Farinha de Trigo 1kg;11,79;134
Macarrão Espaguete 500g;28,09;148
Manteiga com Sal 200g;10,95;144
Queijo Mussarela 200g;20,33;119
Presunto Cozido 200g;27,54;6
Detergente Líquido 500ml;34,75;45
Sabão em Pó 1kg;32,17;92
Amaciante de Roupas 2L;14,31;60
Creme Dental 90g;43,18;91
Sabonete 84g;6,84;102
Shampoo 350ml;6,61;93
Condicionador 350ml;28,16;16
Papel Higiênico 12 rolos;33,51;142
Agua Mineral 1.5L;7,81;101
Biscoito Recheado 130g;5,85;80
Chocolate em Barra 80g;37,75;97
Refrigerante Cola 2L;27,04;22
Suco Concentrado 500ml;4,45;63
Azeite de Oliva Extra Virgem 500ml;35,36;25
Sal Refinado 1kg;38,85;30
Molho de Tomate 340g;18,66;121
Milho Verde Lata 170g;29,52;98
Ervilha Lata 170g;9,41;95
Atum em Pedaços 170g;11,40;73
Sardinha em Lata 125g;32,33;23
Desinfetante 1L;28,39;48
Esponja de Aço 8 unidades;25,20;67
Inseticida Spray 300ml;9,44;102
Água Sanitária 2L;13,97;147
